X,Y,POI_ID,NAME,UNIT_SUITE,ADDRESS,DELIV_MODE,CITY,MAF,PROV,POST_CODE,LOCATION,PHONE,FAX,TOLL_FREE,WEBSITE,EPOI_TYPE,CAF,SIC_1,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,NAICS_1,NAICS_2,NAICS_3,NAICS_4,NAICS_5,SIC_MJ_GRP,SIC_DIV,X,Y,PREC_CODE,ATTRIBCODE,STATUS,COMM_NAME,GRP_IND,FOOD_TYPE
-123.069826189,49.267322883,POI1910951,COASTAL FOOD MARKET,,1961 COMMERCIAL DR,0.000000,VANCOUVER,Vancouver,BC,V5N 4A8,0.000000,604-253-6315,,0.000000,http://www.coastalfoodmarket.com,0.000000,,54110000,73840000,72210000,73750000,79990000,00000000,44511,812921,541921,514191,71329,54,G,-123.069826,49.267323,4,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-123.127296695,49.252196525599999,POI1927246,OAKLAND MARKET,,3738 OAK ST,0.000000,VANCOUVER,Vancouver,BC,V6H 2M3,0.000000,604-738-5133,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.127297,49.252197,4,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-123.728474,49.446656,POI2262135,MOSAIC TEA ROOM,,4786 SUNSHINE COAST HWY,0.000000,SECHELT,Sechelt,BC,V0N 3A2,0.000000,604-740-0047,,0.000000,,0.000000,ADD899051,54110000,58120000,59470000,59320000,00000000,00000000,44511,72211,45322,45331,722213,54,G,-123.728474,49.446656,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-123.332212,48.461824,POI2896408,MAC'S CONVENIENCE STORES,,3749 SHELBOURNE ST,0.000000,SAANICH,Saanich,BC,V8P 5N4,0.000000,250-472-0988,,0.000000,,0.000000,ADD900153,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.332212,48.461824,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-123.49818,48.449306,POI1963508,WESTERN FOOD,,772 GOLDSTREAM AVE,0.000000,LANGFORD,Langford,BC,V9B2X3,0.000000,250-478-8306,250-478-8039,0.000000,,0.000000,ADD1230235,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.498180,48.449306,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-118.463903352,49.026777371500003,POI1830248,SHELL CONVENIENCE CENTRE,,1512 CENTRAL AVE,0.000000,GRAND FORKS,GRAND FORKS,BC,V0H 1H2,0.000000,250-442-5788,250-442-5777,0.000000,,0.000000,,55410000,54110000,00000000,00000000,00000000,00000000,44719,44511,00000,00000,00000,55,G,-118.463903,49.026777,5,2,0.000000,0.000000,0.000000,Gas Stations
-119.55161390000001,49.1789594,POI3567236,SUPER VALU - OLIVER PLACE MALL,UNIT 2000,34651 97 ST,0.000000,OLIVER,Oliver,BC,V0H 1T0,0.000000,250-498-2636,250-498-6533,0.000000,,0.000000,ADD905136,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-119.551614,49.178959,4,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-119.632531652,49.829474754099998,POI3180330,SUPER-SAVE GAS,,2525 S HIGHWAY 97,0.000000,WEST KELOWNA,West Kelowna,BC,V4T2H7,0.000000,250-768-2633,,0.000000,,0.000000,,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-119.632532,49.829475,4,2,0.000000,0.000000,0.000000,Gas Stations
-122.895997,49.250942,POI4663060,JIMMY THE GREEK,,9855 AUSTIN RD,0.000000,BURNABY,Burnaby,BC,V3J 1N5,0.000000,604-569-2771,,0.000000,,0.000000,ADD773057,54110000,20990000,00000000,00000000,00000000,00000000,44511,311999,53311,72211,00000,54,G,-122.895997,49.250942,1,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-119.297317,50.692277,POI5221980,SEDO INTERNATIONAL FOODS,,1050 10 AVE SW,0.000000,SALMON ARM,Salmon Arm,BC,V1E1T2,0.000000,250-832-7343,250-832-7383,0.000000,http://sedointernationalfoods.com,0.000000,ADD904533,54110000,54210000,20130000,51490000,00000000,00000000,44511,44522,44521,311612,42247,54,G,-119.297317,50.692277,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.669578,49.10403,POI3620808,HUSKY - LANGLEY FOOD STORE,,19982 56 AVE,0.000000,LANGLEY,Langley,BC,V3A 3X9,0.000000,604-533-0868,,0.000000,http://www.myhusky.ca,0.000000,ADD940847,54110000,51710000,55410000,29110000,59470000,00000000,44511,42271,44719,32411,45322,54,G,-122.669578,49.104030,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
