,Lat,Long,,Population,
[,50.741914,-116.104313,"""",10,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",5,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",23,"""]"
[,50.741914,-116.104313,"""",26,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",5,"""]"
[,50.741914,-116.104313,"""",5,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",5,"""]"
[,50.741914,-116.104313,"""",15,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.741914,-116.104313,"""",34,"""]"
[,50.741914,-116.104313,"""",198,"""]"
[,50.741914,-116.104313,"""",106,"""]"
[,50.741914,-116.104313,"""",5,"""]"
[,50.741914,-116.104313,"""",0,"""]"
[,50.697879,-116.132137,"""",0,"""]"
[,50.697879,-116.132137,"""",19,"""]"
[,50.697879,-116.132137,"""",20,"""]"
[,50.697879,-116.132137,"""",15,"""]"
[,50.697879,-116.132137,"""",28,"""]"
[,50.697879,-116.132137,"""",15,"""]"
[,50.697879,-116.132137,"""",44,"""]"
[,50.697879,-116.132137,"""",16,"""]"
[,50.697879,-116.132137,"""",15,"""]"
[,50.697879,-116.132137,"""",33,"""]"
[,50.697879,-116.132137,"""",25,"""]"
[,50.697879,-116.132137,"""",33,"""]"
[,50.697879,-116.132137,"""",15,"""]"
[,50.697879,-116.132137,"""",15,"""]"
[,50.697879,-116.132137,"""",5,"""]"
[,50.697879,-116.132137,"""",22,"""]"
[,50.697879,-116.132137,"""",25,"""]"
[,50.697879,-116.132137,"""",5,"""]"
[,50.697879,-116.132137,"""",5,"""]"
[,50.697879,-116.132137,"""",0,"""]"
[,50.697879,-116.132137,"""",26,"""]"
[,50.697879,-116.132137,"""",0,"""]"
[,50.697879,-116.132137,"""",32,"""]"
[,50.697879,-116.132137,"""",35,"""]"
[,50.697879,-116.132137,"""",30,"""]"
[,50.697879,-116.132137,"""",10,"""]"
[,50.697879,-116.132137,"""",56,"""]"
[,50.697879,-116.132137,"""",0,"""]"
[,50.598368,-116.13813,"""",17,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",10,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",25,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",10,"""]"
[,50.598368,-116.13813,"""",10,"""]"
[,50.598368,-116.13813,"""",5,"""]"
[,50.598368,-116.13813,"""",15,"""]"
[,50.598368,-116.13813,"""",5,"""]"
[,50.598368,-116.13813,"""",5,"""]"
[,50.598368,-116.13813,"""",10,"""]"
[,50.598368,-116.13813,"""",10,"""]"
[,50.598368,-116.13813,"""",5,"""]"
[,50.598368,-116.13813,"""",0,"""]"
[,50.598368,-116.13813,"""",5,"""]"
[,50.598368,-116.13813,"""",10,"""]"
